folder	script	dataset	backbone	exp_name	command
cifar100_budget_ablation	coreset_500b.sh	CIFAR100	resnet50	coreset_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=coreset --exp-name=coreset_1_500b --budget=500 --initial_size=500 --seed 1
cifar100_budget_ablation	coreset_500b.sh	CIFAR100	resnet50	coreset_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=coreset --exp-name=coreset_2_500b --budget=500 --initial_size=500 --seed 2
cifar100_budget_ablation	coreset_500b.sh	CIFAR100	resnet50	coreset_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=coreset --exp-name=coreset_3_500b --budget=500 --initial_size=500 --seed 3
cifar100_budget_ablation	coreset_500b.sh	CIFAR100	resnet50	coreset_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=coreset --exp-name=coreset_4_500b --budget=500 --initial_size=500 --seed 4
cifar100_budget_ablation	coreset_500b.sh	CIFAR100	resnet50	coreset_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=coreset --exp-name=coreset_5_500b --budget=500 --initial_size=500 --seed 5
cifar100_budget_ablation	entropy_500b.sh	CIFAR100	resnet50	entropy_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=entropy --exp-name=entropy_1_500b --budget=500 --initial_size=500 --seed 1
cifar100_budget_ablation	entropy_500b.sh	CIFAR100	resnet50	entropy_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=entropy --exp-name=entropy_2_500b --budget=500 --initial_size=500 --seed 2
cifar100_budget_ablation	entropy_500b.sh	CIFAR100	resnet50	entropy_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=entropy --exp-name=entropy_3_500b --budget=500 --initial_size=500 --seed 3
cifar100_budget_ablation	entropy_500b.sh	CIFAR100	resnet50	entropy_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=entropy --exp-name=entropy_4_500b --budget=500 --initial_size=500 --seed 4
cifar100_budget_ablation	entropy_500b.sh	CIFAR100	resnet50	entropy_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=entropy --exp-name=entropy_5_500b --budget=500 --initial_size=500 --seed 5
cifar100_budget_ablation	probcover_500b.sh	CIFAR100	resnet50	probcover_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=probcover --exp-name=probcover_1_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 1
cifar100_budget_ablation	probcover_500b.sh	CIFAR100	resnet50	probcover_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=probcover --exp-name=probcover_2_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 2
cifar100_budget_ablation	probcover_500b.sh	CIFAR100	resnet50	probcover_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=probcover --exp-name=probcover_3_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 3
cifar100_budget_ablation	probcover_500b.sh	CIFAR100	resnet50	probcover_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=probcover --exp-name=probcover_4_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 4
cifar100_budget_ablation	probcover_500b.sh	CIFAR100	resnet50	probcover_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=probcover --exp-name=probcover_5_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 5
cifar100_budget_ablation	random_500b.sh	CIFAR100	resnet50	random_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=random --exp-name=random_1_500b --budget=500 --initial_size=500 --seed 1
cifar100_budget_ablation	random_500b.sh	CIFAR100	resnet50	random_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=random --exp-name=random_2_500b --budget=500 --initial_size=500 --seed 2
cifar100_budget_ablation	random_500b.sh	CIFAR100	resnet50	random_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=random --exp-name=random_3_500b --budget=500 --initial_size=500 --seed 3
cifar100_budget_ablation	random_500b.sh	CIFAR100	resnet50	random_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=random --exp-name=random_4_500b --budget=500 --initial_size=500 --seed 4
cifar100_budget_ablation	random_500b.sh	CIFAR100	resnet50	random_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/RESNET50.yaml --al=random --exp-name=random_5_500b --budget=500 --initial_size=500 --seed 5
cifar100_budget_ablation_alexnet	LIDCOVER_500b.sh	CIFAR100	alexnet	LIDCOVER_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=idprobcover --exp-name=LIDCOVER_1_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/alexnet --seed 1
cifar100_budget_ablation_alexnet	LIDCOVER_500b.sh	CIFAR100	alexnet	LIDCOVER_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=idprobcover --exp-name=LIDCOVER_2_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/alexnet --seed 2
cifar100_budget_ablation_alexnet	LIDCOVER_500b.sh	CIFAR100	alexnet	LIDCOVER_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=idprobcover --exp-name=LIDCOVER_3_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/alexnet --seed 3
cifar100_budget_ablation_alexnet	LIDCOVER_500b.sh	CIFAR100	alexnet	LIDCOVER_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=idprobcover --exp-name=LIDCOVER_4_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/alexnet --seed 4
cifar100_budget_ablation_alexnet	LIDCOVER_500b.sh	CIFAR100	alexnet	LIDCOVER_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=idprobcover --exp-name=LIDCOVER_5_500b --budget=500 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/alexnet --seed 5
cifar100_budget_ablation_alexnet	coreset_500b.sh	CIFAR100	alexnet	coreset_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=coreset --exp-name=coreset_1_500b --budget=500 --initial_size=500 --seed 1
cifar100_budget_ablation_alexnet	coreset_500b.sh	CIFAR100	alexnet	coreset_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=coreset --exp-name=coreset_2_500b --budget=500 --initial_size=500 --seed 2
cifar100_budget_ablation_alexnet	coreset_500b.sh	CIFAR100	alexnet	coreset_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=coreset --exp-name=coreset_3_500b --budget=500 --initial_size=500 --seed 3
cifar100_budget_ablation_alexnet	coreset_500b.sh	CIFAR100	alexnet	coreset_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=coreset --exp-name=coreset_4_500b --budget=500 --initial_size=500 --seed 4
cifar100_budget_ablation_alexnet	coreset_500b.sh	CIFAR100	alexnet	coreset_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=coreset --exp-name=coreset_5_500b --budget=500 --initial_size=500 --seed 5
cifar100_budget_ablation_alexnet	entropy_500b.sh	CIFAR100	alexnet	entropy_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=entropy --exp-name=entropy_1_500b --budget=500 --initial_size=500 --seed 1
cifar100_budget_ablation_alexnet	entropy_500b.sh	CIFAR100	alexnet	entropy_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=entropy --exp-name=entropy_2_500b --budget=500 --initial_size=500 --seed 2
cifar100_budget_ablation_alexnet	entropy_500b.sh	CIFAR100	alexnet	entropy_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=entropy --exp-name=entropy_3_500b --budget=500 --initial_size=500 --seed 3
cifar100_budget_ablation_alexnet	entropy_500b.sh	CIFAR100	alexnet	entropy_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=entropy --exp-name=entropy_4_500b --budget=500 --initial_size=500 --seed 4
cifar100_budget_ablation_alexnet	entropy_500b.sh	CIFAR100	alexnet	entropy_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=entropy --exp-name=entropy_5_500b --budget=500 --initial_size=500 --seed 5
cifar100_budget_ablation_alexnet	probcover_500b.sh	CIFAR100	alexnet	probcover_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=probcover --exp-name=probcover_1_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 1
cifar100_budget_ablation_alexnet	probcover_500b.sh	CIFAR100	alexnet	probcover_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=probcover --exp-name=probcover_2_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 2
cifar100_budget_ablation_alexnet	probcover_500b.sh	CIFAR100	alexnet	probcover_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=probcover --exp-name=probcover_3_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 3
cifar100_budget_ablation_alexnet	probcover_500b.sh	CIFAR100	alexnet	probcover_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=probcover --exp-name=probcover_4_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 4
cifar100_budget_ablation_alexnet	probcover_500b.sh	CIFAR100	alexnet	probcover_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=probcover --exp-name=probcover_5_500b --budget=500 --initial_size=0 --initial_delta=0.25 --seed 5
cifar100_budget_ablation_alexnet	random_500b.sh	CIFAR100	alexnet	random_1_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=random --exp-name=random_1_500b --budget=500 --initial_size=500 --seed 1
cifar100_budget_ablation_alexnet	random_500b.sh	CIFAR100	alexnet	random_2_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=random --exp-name=random_2_500b --budget=500 --initial_size=500 --seed 2
cifar100_budget_ablation_alexnet	random_500b.sh	CIFAR100	alexnet	random_3_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=random --exp-name=random_3_500b --budget=500 --initial_size=500 --seed 3
cifar100_budget_ablation_alexnet	random_500b.sh	CIFAR100	alexnet	random_4_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=random --exp-name=random_4_500b --budget=500 --initial_size=500 --seed 4
cifar100_budget_ablation_alexnet	random_500b.sh	CIFAR100	alexnet	random_5_500b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/cifar100/al/ALEXNET.yaml --al=random --exp-name=random_5_500b --budget=500 --initial_size=500 --seed 5
tinyimagenet_full_50b	LIDCOVER.sh	TINYIMAGENET	resnet50	LIDCOVER_3_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/tinyimagenet/al/RESNET50.yaml --al=idprobcover --exp-name=LIDCOVER_3_50b --budget=50 --initial_size=0 --initial_delta=0.25 --idpc_alpha=1.0 --idpc_mode=high_id_more_centers --idpc_k_id=50 --idpc_k_knn=50 --idpc_cache_root=/scratch/s219110279/idpc_cache/resnet50 --seed 3
tinyimagenet_full_50b	coreset.sh	TINYIMAGENET	resnet50	coreset_2_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/tinyimagenet/al/RESNET50.yaml --al=coreset --exp-name=coreset_2_50b --budget=50 --initial_size=50 --seed 2
tinyimagenet_full_50b	coreset.sh	TINYIMAGENET	resnet50	coreset_3_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/tinyimagenet/al/RESNET50.yaml --al=coreset --exp-name=coreset_3_50b --budget=50 --initial_size=50 --seed 3
tinyimagenet_full_50b	distance_variance_cover.sh	TINYIMAGENET	resnet50	distance_variance_cover_3_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/tinyimagenet/al/RESNET50.yaml --al=distance_variance_cover --exp-name=distance_variance_cover_3_50b --budget=50 --initial_size=0 --initial_delta=0.25 --arc_alpha=1.0 --arc_k_signal=50 --arc_k_knn=50 --arc_cache_root=/scratch/s219110279/idpc_cache/resnet50/adaptive_cover --seed 3
tinyimagenet_full_50b	knn_distance_cover.sh	TINYIMAGENET	resnet50	knn_distance_cover_3_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/tinyimagenet/al/RESNET50.yaml --al=knn_distance_cover --exp-name=knn_distance_cover_3_50b --budget=50 --initial_size=0 --initial_delta=0.25 --arc_alpha=1.0 --arc_k_signal=50 --arc_k_knn=50 --arc_cache_root=/scratch/s219110279/idpc_cache/resnet50/adaptive_cover --seed 3
tinyimagenet_full_50b	uncertainty.sh	TINYIMAGENET	resnet50	uncertainty_3_50b	python train_al.py --cfg=/scratch/s219110279/TypiClust/deep-al/configs/tinyimagenet/al/RESNET50.yaml --al=uncertainty --exp-name=uncertainty_3_50b --budget=50 --initial_size=50 --seed 3
